Case Facts,Advice
"His son is 20 years old. His son is still doing medical studies now. The current maintenance he is paying for his son is $450. His ex-wife prevented their son from speaking to Applicant since young. As Applicant is currently unemployed, his son's school fees are paid by Applicant's mother. Applicant's PR status is expiring in Sep 2019 and he intends to return to his home country.","He can only stop paying maintenance for his son when his son gets his first degree and starts working. National Service does not count as a salary job, only as an allowance, unless his son goes back as a medical officer. If he discontinues with maintenance, his ex-wife can bring him to Court to demand for maintenance. 
If Applicant has no idea on his son's employment status, he can continue paying for about 7 years then stop and see what happens. 
Even without a salary, Applicant has to continue paying maintenance. However, he can apply for variation of order.
CPF is a separate issue from maintenance.
If Applicant were to return to his country and he stops paying maintenance, his ex-wife would not be able to serve Writ of Summons on him if they are unsure of his whereabouts (address is necessary). 
His request to stop paying maintenance to his son has to be approved by his ex-wife, not the son.
If request for maintenance was sent to Applicant's mother instead, she can refuse to pay as the issue is with Applicant. Applicant can also write in to his son to ask to stop his maintenance when he turns 21 years old."
Applicant finding way to reduce maintenance for children from 700 dollars. Applicant has started a new family with 3 young kids (1 more kid from ex wife). Applicant lost job 2 months ago and has financial difficulty in paying maintenance. ,"Possibly explain to ex-wife about his circumstances and whether she is willing to concede, or try to get his daughter to talk to his ex wife. 
Alternatively, apply to court to vary maintenance order. Court will assess his dire change in circumstances but they would not order 0 dollars as maintenance fee. At least, 1 dollar to secure principle that applicant is obliged to pay. "
"Applicant is asking maintenance from divorce. Once the children reaches 21,have to ask father for continued maintenance. Father just cut of 1000 off maintenance when the sons went to NS. Applicant went to Family Court and they asked him to repay her. Presently, the kids are already 21 so have to decide on course of action they have to take. ","Once children are 21 and are still studying, they have legal basis to ask for maintenance. They have to personally file for maintenance or consult a lawyer (but only when he stops paying maintenance then the kids should take out the maintenance application since the form didn't say that husband should pay until 21) "
"Separated from wife and child of 5 months old. Applicant's wife is determined to get a divorce as she is not happy in the marriage. Applicant is concerned about maintenance issues following a divorce.

A hearing has been set on the 17th January at the Family Courts.","Maintenance is only for the Applicant's wife and child and does not include the cost of the maid.

Applicant is advised to attend the hearing and to express his unhappiness at the hearing itself in front of the judge/mediator to discuss the maintenance costs fairly. The sum would be determined by the courts considering their lifestyles. 

"
Her parents went through a divorce and father is taking up a maintenance application against mother on the grounds of a change of the father's employment from a mechanic to a security guard. Father is supposed to pay the mother 500 dollars but is appealing against it as he would not be able to afford it following the change in his job. The mother is currently unemployed and in need of maintenance for her upcoming eye surgery. The mother is unable to be present as she is currently overseas taking care of her unwell sister.,"The mother would have to file her own affidavit that she would need the money for her eye operation for the Pre-Trial Conference as it gives the mother the right to reply based on the father's affidavit and application. This would include things such as her pay slip, income tax report, IRAA and CPF documents.

Firstly, client should check if her mother would like to apply for a lawyer of which should she want to, the lawyer would be able to handle the case on her behalf. 

Secondly, the mother must email the husband's lawyer regarding her inability to attend the hearing. The client is suggested to attend court on the mother's behalf and explain to the judge. The mother must be sure of her stand as to whether she wants to fight the case or not. From there, should she want to fight the case, the client can appeal to the judge for more time to find a lawyer. 

Thirdly, regarding financial aid, as the mother must be around during the consultation and application with Legal Aid, she could opt for next best alternative, the Basic Legal Services, to help the mother in the drafting of documents, under the mother's name. 

It is strongly suggested that the mother should at least fly back for the pre-trial conference so that she could explain her situation in detail to the judge and make her stand regarding the case.  For Legal Aid, it may take a few months in itself and her mother must apply as soon as possible as she may not be able to apply in time. "
"Children Maintenance Issue:

21 year old and 18 year old children.
Applicant has been paying maintenance - $3,000 per month per child, amounting to total quantum of $6,000.

Consent order: Does applicant have to pay for son that has reached the age of 21. He has completed his National Service and is going for his studies.

Under clause in consent order, education expenses have to be paid for Son, when order was made in 2013, it is not specified whether ""education"" covers university education going forward.

Applicant is worried that if both son and daughter pursue university education overseas, he will be unable to afford. ","Legal issue #1:
Even for males that turn 21, maintenance fees have to be continued to be paid by Applicant.

Legal issue #2:
Take up an Originating Summons to discern whether the Applicant has to pay for University fees.

No material difference for payment towards university fees, be it for overseas university or local university. only difference is quantum of fees given subsidies for local universities."
Applicant is divorced and has sole custody over their son. Her son has special needs therefore the expenditure of her son is $3000 per month. ,"Lawyer advised that applicant needs to have an application to vary the child maintenance - to increase the maintenance.

Applicant will have to explain the reasons for the increase in maintenance. Applicant can also provide evidence of her ex-spouse increase of salary as he was formally an intern and now a full time staff.
 
Applicant to provide her own finances and how the varied maintenance. 

Applicant can go back to family court to enquire about paralegal to assist in her application to increase. 

Applicant can ask for expenses for her son with her ex-spouse. For example, the car - cost of petrol. if the ex-husband challenges the increase of the maintenance then he will have to disclose his salary."
"Applicant is divorced from her ex-husband and the ex-husband wants to provide a maintenance of $200.

Applicant's ex-husband claimed that he cannot pay for the $1000 maintenance. ","Lawyer told applicant to explain why the maintenance cannot be adjusted from $1000 to $200. 

 Lawyer told applicant that she can request to the court for the extension of submission of documents."
"Applicant is divorced and has 2 sons. Both of the sons are above 21. However, one of the son is still doing NS. Child maintanence order of $2000 was given 2002.","Lawyer advised applicant to go to family court to take out an application to varied the maintenance of order and cancel maintenance for 2 sons but only for the daugther. 

Lawyer advised that applicant can seek private lawyer to settle the child maintenance."
"2014 the applicant was involved with a girl, was a court order to pay maintenance to a child. The child is seven or eight now. The applicant has been paying to that person since then. Lost job, has a period of 3 months to stay in Singapore. As he cannot stay in Singapore, he cannot continue paying maintenance. ","There is nothing that can be done about staying in Singapore. What can be done is to engage a Singapore lawyer while still here, or to engage an overseas lawyer when the applicant has returned to his country. Depends on what application the girl files. Currently there is nothing. Can't comply with the court order because he does not have a salary. May not be able to stay too long, things beyond his control. More of a personal dispute. The child is illegitimate as born out of wedlock."
"Ex-husband has not paid Maintenance, and he is not in Singapore. Ever since the 2nd child was born in 2008, he has not been in Singapore. He has since passed away in overseas.

Joint-Tenancy - by right the rule of survivorship would already apply.","File a notice to CrimsonLogic, that she is acting in person, and that her lawyer (during the divorce case) is no longer acting for her.
- ""Notice to act in person""

Produce evidence of his death - e.g. CPF letter with ex-husband's death date, pictures at the funeral wake, copies of obituaries, etc.
- Best Evidence rule: The best evidence rule is a legal principle that holds an original copy of a document as superior evidence. The rule specifies that secondary evidence, such as a copy or facsimile, will be not admissible if an original document exists and can be obtained."
"Applicant has a Maintenance application Mediation session next week (1st application), and wants to check if her documents are sufficient.

Applicant is applying for $2,000 a month, and has provided a breakdown of the amount. While the $2,000 per month is a lot, Applicant explained that she has been undergoing hypnotherapy, since she had undergone a very abusive relationship; and this price is the market rate.

Applicant used to be working in her ex-husband's company, until her employment got terminated after their separation. Now, she is living with her parents, and they support her.

Applicant also queried regarding her ex-husband's declared salary to the Court - $3,700, even though she ""knows for a fact"" that it is at least $5,600 a month.","Applicant's procedure is a MSS, not a Summons. Therefore, it is much more informal, and she would not even require an affidavit.

Applicant would be likely to struggle to get maintenance for the hypnotherapy, as it might not be seen as essential. Or at most it would be difficult for her to get the full amount from her ex-husband, as she is not working.

Courts would award based on the lifestyle to which the Applicant is accustomed. She should include all her typical expenses, e.g. groceries, transport.

Furthermore, typically, Court would typically not award 100%, if the Applicant does not work. Things which are seen as ""not so necessary"" may be knocked out.

Applicant should also bear in mind that while she may allege the salary thing to the Court, her ex-husband was dabbling in a family-run business, i.e. it would go up and down. While he might have been earning $5,600 per month back then, it might not be the case now. The $5,600 was not a fixed employee salary. Furthermore, if her ex-husband brings out his tax returns and shows the $3,700 amount, but Applicant disputes it, there is a likelihood that it could be serious - as it could amount to an accusation that her ex-husband was ""evading"" taxes, etc."
"Applicant and husband got divorced 2001 (unreasonable behaviour); not finalized until 2003. From 2003 to 2015, ex-husband did not pay her anything ($500 per month). In 2015, Applicant sought an enforcement, but he could backpay for only 3 years.

Applicant's ex-husband sold the family condominium, got $600,000. However, he did not pay the Applicant. Applicant wants to get money for this.

Furthermore, Applicant did not make the claims for maintenance during the 12 years, because she had thought that her ex-husband was in a bad shape, and she tried to be understanding. However, in 2014, she found out that he had sold the family condominium in 2008, and so she felt cheated and feels that she should have claimed the money at the time.

Also, Applicant's ex-husband has allegedly gotten into a long-distance relationship with a woman from overseas, and even told the Applicant via sms that he had gotten a new car.","Lawyer echoes the judge's words - that it would be very difficult for Applicant to claim back more than the 3 years' worth that she had already gotten.
- However, he added that nothing is to stop Applicant from making the claim at the Family Justice Courts.
- File an application at the Family Justice Courts for upward variation."
"Applicant's ex-wife was trying to enforce maintenance that applicant could not pay. Applicant is not represented. 

Applicant has accumulated some debt and also owes his wife about $8300. Applicant's ex-wife's lawyer made the maintenance order.

Applicant has to pay his ex-wife $2500 a month. 

Applicant and his ex-wife had planned to reconcile when the order was made. Applicant had taken out loans however his financial situation is the same. ","1. Applicant has to take a application to vary the maintenance order by way of summons and affidavit. However, to vary, he must have had a material change in circumstance. 

2. For applicant to self-represent, he has to draft his own affidavit and do his own filings. It would be preferable if the applicant is represented by a lawyer. 

3. Variation can come up to $4000-5000 excluding disbursements. "
"Applicant is concerned about previous judgements and is seeking further explanation. 

Applicant's wife is Muslim and he had converted to Islam himself. He has since divorced two years ago and has legally renounced his religion.

The first judgement is regarding an enforcement order that he owes her muta'ah of $11,100, substracting the $3200 his ex-wife owes to him. He will do so by depositing $100 to her account every month.

His wife must pay $240 a month as maintenance for his two children until they reach the age of 21. She will also reimburse $800 a share of their children's medical expenses up to May 2018.

She has not paid him for a few months.","Applicant mostly wanted clarification about the judgements.

If she fails to pay, he can bring up the case in court. "
"Separated for 2.5 years. Applied for divorce in 1998 overseas but it didn't go through. Reconciled in 2003, left him in June 2016. Husband is overseas, tried to reach out to her and reconcile during 2 years apart but she didn't pick up because she didn't believe he could change and didn't want to put herself through it again.

Daughter is 22 years old. Own a HDB in both names, own a semi-duplex house in overseas under both of their names. 

Wants to sell HDB in Singapore.","Go directly for divorce, can bypass deed of separation. 

HDB will not change name under house unless there is a divorce document.

Even if husband gives her power of attorney, he can still demand his half of proceeds of sale. Husband could just gift his ownership to her by going to HDB for transfer. HDB will accept case by case if she can hold the HDB as a single PR. 

Should bring the overseas property into divorce proceedings because it is still a matrimonial asset. 

Better to file for divorce in Singapore even if husband is currently living in India. Simplified divorce should take 2-3 months. Cost depends on lawyers. 

Husband cannot claim maintenance from wife unless he has health issues. Cannot claim back all the Medishield and other payments that she has previously paid on his behalf. 

Must go to lawyer to draft document so that she doesn't need to come to court again if there is something wrong with document.

Should complete divorce before proceeding with sale of HDB.

Can take a PPO to stop his harassment. Can go to psychiatrist to show that she is stressed out from husband's harassment and bring that to court.

Even contested divorce is only 1-2 years in Singapore, won't drag for 5 years like in India."
"Wants to find out more about because her ex husband got retrenched in august
didn't tell her and continued to pay
she only found out recently in end of October
so he refuses to pay maintenance now 
didn't update her on his new job and his job benefits
was not a contested divorce
everything was prepared by her lawyer then signed by both parties
according to ex husband, he didn't receive anything from his reserved share benefits upon retrenchment
maintenance is 1 month in arrears
","Was not stated that he has to update her on his job status
She can go to family court and go to a lawyer to get it enforced if she feels he is underpaying
Court will issue a summons so he will have to attend in court
Unless he can take a variation on the clause if he is unemployed or is paid less and is unable to pay 
She does not need him to tell her, the minute she feels he is not paying up, she can just go straight to family court to apply for a summons to enforce
The court cannot make him disclose it as it is not a civil case, cannot go into discovery 
She has to seek an order and convince the court of why she deserves a higher maintenance
so if she wants to claim for the shares, she has to engage a lawyer to enforce the order so she can find out if he has received RSU 
"
"1. Ex-husband filed for a variation of maintenance order

2. Ex-husband still owes $1,500 of legal fees from divorce proceedings","1. Attack every point of the ex-husband's affidavit to show a fresh tabulation (ie this is not reasonable and what the correct amount is)

2. Client to reply ex-husband's affidavit by requesting for ex-husband's list of expenses. "
Maintenance. Only daughter is staying with client. Court ordered full amount of maintenance to be calculated for expenses of both son and daughter. Not full amount is given.,"1. Amount of arrears owed is 2200-450= 1750 should be given since October 2018. Regardless of reason, ex-husband has to be pay ordered amount unless the order is varied.

2. Information about legal aid is given to "
"Applicant was married for fifteen years, but the husband did not register her as co-owner of the property. They have three children. 

The applicant and her three children were kicked out of the house with just the clothes they were wearing on Saturday and have since been staying at a friend's house.

Applicant's husband has not been paying maintenance for her and her children for a year. 

Applicant has spoken to social workers. 

Applicant is a PR and her husband is Singaporean. They have three children. The husband is not a Muslim; it is a civil and not Syariah matter. ","Applicant should apply to enforce the maintenance order. Applicant can approach the Legal Aid Bureau for assistance. Applicant should also apply to vary the maintenance order to increase it and ask for maintenance for herself. 

Applicant should apply for a PPO and an exclusion order to exclude the husband from the house. Applicant will have to prove threat of violence, such as mental torture. 

Applicant can also ask the Family Court if there is any help with regard to the shelter. "
"1. Arrears in maintenance of around $100K.
2. Divorce finalised in 2013.
3. Client had agreed to reduce maintenance sum.

","1. There must be a proof of arrears

2. File enforcement summons to get ex-husband to pay arrears

3. Bring bank statement to show arrears during mediation

4. Maid expenses can be under children's expenses.

5. There can be estimation of children's future school fees for variation summons.

6. Attachment of earnings order (applied by way of summons) can be applied to show that he is able to pay the arrears."
"Applicant wants to vary the current $1000/month maintenance order he must pay to his wife. Applicant is 63 years old earning $2000/month and originally thought the amount was maintenance for his children. The applicant has health problems such as high blood pressure and diabetes. 
","Applicant should engage a lawyer and take out an application to vary down the maintenance of $1000/month. 

Applicant must show that his condition is no longer the same - change in circumstances. He must show he has medical problems, there has been a decrease in income etc. He should produce documents such as medical reports.

If the applicant loses his job he can show change of circumstances and also approach LAB for assistance. "
"Applicant is trying to increase maintenance because her daughter has been diagnosed with a lifelong disease. 

Delay between diagnosis and the application to increase maintenance due to the ex-husband's previous need to support his mother, and the applicant's recent loss of job. 

Previous maintenance was $200 per month, applicant wants an increase to $1000 per month. 

Applicant does not intend to hire a lawyer. ","Applicant must explain her change in circumstances. Applicant should include any documentation such as doctor's reports. If necessary she should get the documents from the hospital regarding the daughter's diagnosis if she no longer has the report. 

Applicant should explain that it is an ongoing obligation to go for and pay for hospital checkups, and give a case of what she has been paying. 

Applicant must show the court why she is asking for the new amount. "
"Applicant is on a long term visit pass and she has applied for renewal from ICA. ICA requires husband to bring his NRIC and go down and be his sponsor. However, he has a girlfriend in Singapore for over 10 years. Her husband's pay is $5500.
She has been married for 2 years and she has no maintenance from her husband. 
She is looking for a job in Singapore.

As her husband's mother passed away, so she came to Singapore to stay in Singapore with her husband.
","Lawyer advised that as she has been only married for 2 years therefore she cannot divorce it has not been 3 years unless it is annulment. 
Reasons for divorce: Separation of 3 years, separation of 4 years, adultery, unreasonable behaviour, leave the house for 2 years. 
The maintenance after divorce may not be a lot as they have been married for only 2 years. Applicant may ask for a lump sum or monthly amount. 

Lawyer said applicant can sue for maintenance however she may not get it. 

Applicant can get S Pass - employment pass then she can continue staying on in Singapore. If the company, can apply for employment pass as her sponsor.

If husband beat her up then she can call the police.

Applicant's property before marriage will not be included as matrimony assets. "
"Applicant's ex wife is filing maintenance for her child and she has been paying $250/month - finale judgment is in June 2018. There is an order from the family court that they will review in August 2018 however there was no review.
Ex-wife applied for variation for the child maintenance for $1250.
Applicant is currently unemployed and cannot afford to pay however he is trying his best to pay for the maintenance. ","Lawyer advised that the $250 whereby the judge would have consider the circumstances. 

Applicant can apply to court if he cannot pay as he is unemployed. 

As there is an agreement for review of child maintenance therefore ex-wife can apply to family court for review. Judge will review for both parties.

Applicant can self-represent himself if he cannot afford a lawyer.

Applicant can write to ex-wife lawyer to say he cannot afford to pay now. "
"default of maintenance. ex husband has not paid maintenance since September. Divorce case and has gone for enforcement. Daughter is the only child that needs maintenance. Have gone for mediation but was unsuccessful. She is able to sue her husband. Husband is claiming that he needs to take care of his mother. Since it is stated in the court order, he needs to pay maintenance. 

Closed door hearing on 20 dec. Advised to bring all relevant documents to court. 

Ex-Husband remarried last year. 
He is currently staying with the mother and claiming to having to pay for the house and bills at his mother's house but his name is not under the house. She is able to ask him to show receipts of his payments. Ex-husband is not the only child. If husband refuses to show, bring it to the attention of the court. 

Ask ex husband for profit/loss accounts of his sole proprietorship via email or WhatsApp so able to show court. Burden of proof to show he has other sources of income is on her. Have to write to court for a court mention. 

She suspects that he will be closing his company and opening a new company that is not in his name. She would have to proof that he is actually the man behind the new company if she is making the allegation. 

Mother of ex husband does have the means to maintain herself. ","Sue husband for default of maintenance. 
Get relevant documents to support her allegations. 
Ask husband for profit/loss statement of his business to show other forms of income. 
Any doubts she has, she will have to proof her own allegations. "
"Applicant has been divorced for 6 years. He has three daughters 16, 18 and 21. She turned 21 years old last June. He stopped paying the 21 years old maintenance since then. The maintenance for the 3 children is $1,100. 

The court order states that he is to pay for the children's education. 

His basic salary is $2,430.  ","If he wants to reduce his maintenance payment, he needs to show a material change in circumstances. 

He needs to take out a summons at the Family Court. 

Alternatively, he could speak to PJP. 

As the eldest daughter who is 21 years old is in the second year of her university studies, she is not financially independent, the applicant is still obliged to provide for her. 

Normally, the maintenance would have to paid until the children are 21. However, if the children are schooling, as per the court order, he still needs to pay maintenance. If he fails to do so, the other party can take out an application on the basis he breached a court order. 

If he wants to reduce the maintenance, he needs to put in application to vary the order. 

He could approach Legal Aid and see if he qualifies for a Legal Aid lawyer. "
Applicant's divorce was granted in 2009. Applicant filed for maintenance but the ex-husband hasn't paid for maintenance. He put a stay on her maintenance through involuntary management. She wants to lift the stay of maintenance. ,"Whatever she think it is relevant to the affidavit, she should put it in. 

Lawyer has no time to interview her and understand the full background to know what to put into her affidavit. As such the lawyer is unable to advise her on what to write in her affidavit. She could mentioned she has previously had a case, cite the case/summons number and on the date she attended the summons. The applicant could then tell her story and humbly request the court to lift the stay. 

She needs to put in a summons to lift the maintenance. The affidavit accompanies the summons. 

The summons and affidavit are two separate documents. 

Filing an application means to put in a summons. 

Lawyer explained to the applicant that a summons is like a prayer - what she wants from the court. 

If she puts in the wrong summons and asks for the wrong thing and he needs to defend the summons, there would be costs consequences as he is defending something irrelevant. 

She could speak to a Legal Aid lawyer or to speak to PJP to help her with her issue. 

With regards to the husband's bankruptcy, she needs to file her proof of debt with the OA. As her debt is unsecured, she won't have priority over other creditors. 

She could go back to her previous lawyer who helped her with the divorce. "
"Applicant was divorced in 2007. In Nov 2017, she filed for a variation of maintenance for the child. The child is 17 years old. It was rejected. The daughter is now living one week with the applicant and one week with the former husband. The court has asked him to pay $400 and asked him to pay the arrears. The ex-husband wants the applicant to waive her rights to the maintenance in return that he will pay for all the expenses with regards to the child's education. ","The court will have to look at his earning capacity and expenses. He is the father. He needs to maintain the daughter. 

Go back to court and make him pay the arrears. If she is not agreeable to the proposal, don't sign it. She could show the court that this is the proposal he had made. 

If for some reason he has no source of income, then there is no point squeezing money out of stone. 

She could bring up that if he cannot afford it, why is he driving a car. "
"Applicant attended the Family Court on 22 Nov and the court ordered that he needs to pay his ex-wife and his child maintenance by 30 Nov. But he has no savings to pay up by 30 Nov. 

He has a congenital problem with his eyes - double vision. The eye specialist declared he is permanently unfit to work. ","Once the court made an order, he has to comply with the order. 

Otherwise he has to appeal the order.

He has only 14 days to appeal against the decision. 

If he cannot pay, then the other party will commence enforcement or commence committal proceedings against him. He will be sent to jail if he cannot pay up. 

If he still needs Legal Aid, perhaps he would seek his MP to write a letter to Legal Aid. 

Submitting false documents to government is a serious offence and would be liable for a jail term. "
Applicant is facing some financial difficulties. He is unable to pay the maintenance fee to his ex-wife. He has defaulted on the maintenance. He was supposed to pay $500. He has only paid her $300 per month for the last 2 months. He has a new family and has a third child on the way. ,"He needs to show that he has a material change in circumstance in his life. He needs documentary proof. For example, he could highlight that he has a new child on the way. He could then apply for a variation of the maintenance order. 

It would be better for him to reduce the maintenance order then to say he would pay e.g. $200 each month for a year and then pay $500 a month later. 

If he is sure his ex-wife is working now, he could ask for a variation of the order since at the time the order was made, it was 10 years ago, and she was not working then. 

He could ask the judge at the next hearing which is on 23 Nov for more time to write the affidavit and provide the documentary evidence. "
"The applicant's son is reaching 21 years old. The maintenance order is elapsing, but the son is still a student.

The ex-husband ceased payments this month, as that is the age the son reaches 21. ","The applicant was informed that her son has to be present for the case once he turns 21. As for maintenance of herself, the applicant was informed that this was not an issue unless the ex-husband ceased payments for the applicant's maintenance.

If the applicant wishes to increase the amount of maintenance, she will have to prove that she requires the requested amount of money, as well as provide the reasons for resigning from her own employment."
"Applicant is a divorcee. The applicant's ex-husband has ceased payments for several months. One son is serving in NS, and the other is studying. Both are above 21.

The applicant was told her maintenance should be limited to one-third of the initial sum, as only the youngest child is below 18.

Applicant states that her eldest son has received the maintenance money directly from her ex-husband, but she has pretended not to know of this. Applicant has specifically requested that this should not be recorded, as she felt it would harm her case.","The applicant was advised that she should specify that her two eldest children are still pursuing their education, as that would make them still eligible for maintenance."
"Applicant is 21, and financially reliant on her parents. She has just finished university. Her father appears to have the intention of asking her to leave the house.

Applicant had found work, but was asked to further her education by her parents. ","Applicant was informed that her parent's legal obligation to maintain only extends till age 21. Furthermore, any obligation to fund her education might fail, as she has already graduated from university.

Applicant was also informed that a gift given by her parents could be returned. However, the expensive gifts might be difficult to obtain, given that they are in her parent's safe.

Communication with the applicant's parents was recommended, but the difficulties of such were acknowledged. Mediation was also recommended as a means of resolution."
"Client had a divorce however she did not have a maintenance order. 
She used to get maintenance however it is lower since July 2018. 

Client has sole custody of the 10 years old child. 
Her ex-husband gives her $450/month by mutual agreement.","Lawyer advised client to go to the family court to varied the order. 
The employer can pay deduct his salary and give the maintenance directly to the client.

Client to bring IC, expenses for the child to justify the varied maintenance for his child to the family court.

Client re-married however the ex-husband who is the father of the child has to still pay for his own child.

If client's ex-husband is jobless - the court will not force him to pay for child maintenance."
"Client has just finalised the divorce - and the court order state that her ex-husband has to pay for legal and PI fees.

Client has 2 children of joint custody - and ex-husband has accessed to see the children from Fridays - Sundays. 
Client has care and control of the 2 children.

Client's ex-husband paid maintenance but late in payment.

He threatened to not pay for maintenance by filing bankruptcy, ","1) Writ of seizure and sale against ex-husband
2) Freezing of client's ex husband bank account
3) Go to the court for varied the judgement. 
4) Client has the care and control of the children - which means that client has to take care of the children throughout and not just weekdays. 
Client cannot force the ex-husband to come and see the children.
However, she may be able to claim for more maintenance if she can show additional expenses eg hiring of a maid.
"
"Divorced for 20 years, ex husband has been paying maintenance until last year. Not giving any maintenance currently. Factory is not closed and still sending children overseas. ","Keep documents and open for an application for maintenance order. 
Do not need lawyer, but can engage one if applicant decides to. 
Can make husband pay for whatever missing maintenance with the order.
Court will ask applicant and ex husband to go for mediation. 
Ex husband would have to take our a varying order if wants to stop giving maintenance. 
Applicant has to enforce order to pay the previous 12 months also. 
Assuming it goes to trial, a lawyer would be better if do not know how to run a trial. Unless resolved. 
Can check with legal aid to see if applicant is able to get a lawyer. Legal aid is at Maxwell. 
If mediation, applicant still has to be present, but not for every stage.
"
"Going through maintenance application. Received maintenance order to pay wife. Self employed, has been sick since 2016, business has not been well, owe several debts. Did not submit documents to court. 
","Can apply for appeal to say decision is wrong, but chances are slim. 
Option to vary or get it discharged. 
In order to vary successfully, have to show a material change in circumstances of applicant.
Ex wife might take out application to enforce maintenance order, applicant should negotiate with ex wife for maintenance order. 
Applicant should get a private lawyer for further legal advice. 
Come up with a proposal to ex wife to understand applicant's current circumstances. 
Have to go around asking for lawyer's prices and applicant has to make decision on his own.
"
"maintenance (2011) before divorce 
The ex wife cannot take care of the kids after nearly a year after the divorce. The divorce was under mutual agreement. The custody is joint but care and control is under his ex-wife. Its been a few years of taking care of the kids and there is no maintenance of the wife under mutual agreement. There is a court order for the custody of the children.

She gave the applicant total access for the kids because of financial issue and she cannot look after them. The applicant still gave the kids allowance. the ex-wife wants to go back to what was agreed previously. The wife is starting to ask for more money for the maintenance of the children and said that maintenance is for the savings of the kids. Both remarried after.","Look at the court order and comply with it. An agreement is needed to change the court order if need be.

Look for a lawyer to amend the order to verify the care and control. Suggested to go to legal aid."
"Divorce - 2009
Paying child's support and ex-wife's maintenance 
Finished paying the condo that was transferred to the ex-wife.

2014 - came back to Singapore - had a daughter with current wife with a 3 years old child now.
2012 - remarried with 2nd wife 
2016 - variation of maintenance  - daughter studying law in UK. 

ex-wife is not working currently
client - asked to leave his job on 31/10/2018 
current wife is asking for a divorce due to stress - of the previous wife's maintenance ","1) can apply for variation of maintenance - show evidence - never defaulted any maintenance, employment history, pay slips
2) go to Family court - file a summons - and documents 
3)ex- wife - did not remarry - then client need to continue paying the maintenance - unless retirement with no income then no need continue 
4) can only afford - this amount - comfortable to the client - court will suggest an amount 
5) no charge on the CPF monies "
"Client has a court order that mandates that her ex-husband pay a specific amount of money. 

There is a warrant of arrest for the ex-husband. However, he has not stepped back into Singapore since the warrant was issued. ","1) Advice is that when client appears in open court, that she clarify whether the closure of the file affects the validity of the warrant of arrest. "
"Client is supposed to get $7,000 from the sale of a HDB. If the HDB is not sold, there is nothing to be claimed. ","1) There is nothing to be claimed if the HDB is not sold. 
2) Ask the courts for notes of evidence. 
3) If the notes prove that the $7,000 was meant for maintenance, then she should try to get a variation order. "
"Client wants to appeal the court order for the division of property. Under the court order, the wife gets 48%, the client gets 26% and the children get the rest of the flat equally. He wants to challenge the court order. He says he has been paying for the flat and that the wife had not contributed anything to the flat throughout the marriage. He feels aggrieved that the wife has gotten a large share of the flat and wants to challenge that. 

Client claims that he has an impression that he has received a summons for divorce 2 years ago. But he did not attend court as he claims he did not pay attention to the letter, or unaware that the letter has legal implications, and did not attend the divorce proceedings. 

Client has also defaulted on his maintenance payment to his ex-wife. Client claims he is unable to contact his ex-wife. He does not have his ex-wife's contact number nor does he have her bank account number. Client's ex-wife has apparently filed a summons for him defaulting on the maintenance. ","He should seek legal representation. 

Client was advised that his situation would require him to appeal the court to set aside his order. 

His matter would be quite difficult as a final order has already been given. 

To set aside the order, the client needs to provide a legal basis. 

Client needs to provide evidence  of his payment for HDB and his contribution to the family. 

Client was advised that under Singapore law, the division of matrimonial property would take into consideration the indirect contributions of a party such as ""cooking"" and taking care of the household. 

With regards to the maintenance, he needs to pay his wife the monies owed, and the monies going forward to the wife's bank account. If he doesn't have his wife bank account, he should use his best efforts to ensure he makes payment into his wife account.  

If he cannot afford to pay, he needs to apply to court and explain his finances. If he doesn't know her bank account, he needs to ask her. "
Applicant wants to know about her maintenance even if her husband left for overseas,"Applicant was advised to hire an overseas Lawyer to serve the summons on A/P as our court cannot serve documents out of Singapore due to jurisdiction reasons.  Applicant is also unable to serve the summons on her own and would require a lawyer.

Applicant was also advised to hire a lawyer to make an application for substituted service. If  applicant is unable to afford legal counsel, she was asked to seek aid from the legal aid bureau. 

Applicant was also advised to hire her own private lawyer if she earns beyond the expected amount to qualify for legal aid."
Client's ex-husband is applying for a variation to the maintenance order. Client's husband is an undischarged bankrupt. ,"The client needs to organise the affidavit and put tabs on the attachment. 

Depends on the judge, the variation order may be backdated, but it is unlikely this situation will arise. 

They can write to the OA to check whether the ex-husband has been discharged from bankruptcy. 

They could state in the affidavit that while he is applying to reduce the maintenance, he is still living a life of luxury. Their claims need to be truthful and substantiated. 

If the judge accepts that the husband is jobless and has no money to pay, the client is still unable to obtain payment. "
"Ex husband is psychiatric patient. Up till now, only gave 1 year of child maintenance. Ex husband avoids applicant. ","Have to find a way to get ex husband out.
Can get a lawyer to request ex husband to come out, lawyers will do the service for applicant.
Once summon has been served to ex husband, he will need to fulfill his obligations. 
A court order is needed if applicant wants to use other methods to serve summon to ex husband. 
Cannot claim from husband's CPF unless go back to divorce order.

"
